iter	Passed	Remaining
1504	10317	81413
1505	10324	81407
1506	10330	81399
1507	10337	81389
1508	10344	81381
1509	10350	81372
1510	10357	81363
1511	10364	81358
1512	10371	81352
1513	10378	81345
1514	10384	81338
1515	10391	81330
1516	10398	81321
1517	10405	81314
1518	10412	81308
1519	10418	81299
1520	10425	81290
1521	10432	81284
1522	10439	81277
1523	10445	81269
1524	10452	81259
1525	10458	81251
1526	10465	81242
1527	10472	81235
1528	10479	81228
1529	10485	81220
1530	10492	81213
1531	10499	81207
1532	10506	81200
1533	10513	81192
1534	10520	81185
1535	10527	81181
1536	10534	81174
1537	10541	81171
1538	10548	81163
1539	10555	81157
1540	10562	81152
1541	10569	81149
1542	10576	81141
1543	10582	81131
1544	10589	81123
1545	10596	81116
1546	10602	81108
1547	10609	81098
1548	10615	81089
1549	10622	81082
1550	10629	81076
1551	10636	81071
1552	10643	81063
1553	10650	81056
1554	10657	81049
1555	10663	81041
1556	10670	81035
1557	10677	81026
1558	10684	81018
1559	10690	81011
1560	10697	81003
1561	10704	80997
1562	10711	80990
1563	10718	80984
1564	10725	80979
1565	10732	80975
1566	10739	80967
1567	10746	80959
1568	10752	80952
1569	10759	80945
1570	10766	80938
1571	10773	80933
1572	10781	80929
1573	10788	80925
1574	10795	80921
1575	10802	80913
1576	10809	80907
1577	10815	80900
1578	10822	80893
1579	10829	80886
1580	10836	80878
1581	10843	80872
1582	10849	80861
1583	10856	80854
1584	10863	80848
1585	10870	80843
1586	10877	80835
1587	10884	80829
1588	10890	80821
1589	10897	80814
1590	10904	80806
1591	10911	80798
1592	10917	80788
1593	10924	80782
1594	10931	80775
1595	10938	80771
1596	10945	80764
1597	10952	80756
1598	10958	80749
1599	10965	80741
1600	10972	80735
1601	10979	80727
1602	10986	80720
1603	10993	80715
1604	11000	80710
1605	11007	80703
1606	11014	80698
1607	11021	80694
1608	11028	80690
1609	11035	80685
1610	11042	80679
1611	11049	80673
1612	11056	80667
1613	11063	80660
1614	11070	80652
1615	11076	80642
1616	11083	80638
1617	11090	80632
1618	11097	80624
1619	11104	80616
1620	11111	80609
1621	11118	80603
1622	11125	80597
1623	11131	80589
1624	11138	80579
1625	11145	80574
1626	11152	80570
1627	11159	80563
1628	11166	80556
1629	11172	80548
1630	11179	80541
1631	11186	80536
1632	11193	80530
1633	11200	80524
1634	11207	80518
1635	11214	80509
1636	11221	80502
1637	11228	80496
1638	11235	80489
1639	11242	80483
1640	11248	80476
1641	11255	80470
1642	11262	80463
1643	11269	80456
1644	11276	80448
1645	11283	80442
1646	11289	80434
1647	11296	80427
1648	11303	80419
1649	11310	80412
1650	11317	80405
1651	11324	80399
1652	11330	80392
1653	11337	80384
1654	11344	80380
1655	11351	80372
1656	11358	80364
1657	11365	80358
1658	11372	80352
1659	11379	80346
1660	11386	80342
1661	11393	80337
1662	11400	80329
1663	11406	80321
1664	11413	80315
1665	11421	80312
1666	11428	80307
1667	11435	80301
1668	11442	80296
1669	11449	80289
1670	11456	80282
1671	11463	80276
1672	11471	80280
1673	11478	80276
